step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.438345047363342,0,0.0,0.9762256603347623,0,0.0,0.9789811148032228,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9770185981363186,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9772067165986447,0,0.0,0.9772916212918057,0,0.0,0.977362714778482,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9765821613283818,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.069247646236366,0,0.0,0.9533017448452049,0,0.0,0.9691552583372298,0,0.0,1.0,0,0.0,1.0,0,0.0,0.918661130685785,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9663670820860912,0,0.0,0.9685623677667492,0,0.0,0.9673322418466092,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037738852737507,0,0.0,1.0,0,0.0
15.0,4,7.0,0.175,11.101087685777513,1,2.0,0.7897419940283749,0,0.0,0.9750136899847087,0,0.0,1.0,0,0.0,1.0,1,2.0,0.6618573747383245,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9451132273131174,0,0.0,0.9181386419820937,1,1.0,0.6554825257965622,0,0.0,0.9502073294964672,0,0.0,0.9677536359615446,0,0.0,0.9371624844691867,1,2.0,0.7304545566506417,0,0.0,1.0,4,7.0
20.0,3,11.0,0.19642857142857142,10.560937795995512,3,11.0,0.612582257389175,0,0.0,0.935231708152525,0,0.0,1.0,0,0.0,1.0,0,1.0,0.7294747068187023,0,2.0,0.43368962890453333,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9684588702935623,0,0.0,0.9423806100154797,0,0.0,0.8339390763450748,0,0.0,0.9709887642083853,0,0.0,0.9393481958699686,0,0.0,0.9499653474912882,0,0.0,0.770925800969426,0,2.0,0.4980840825629702,3,16.0
25.0,5,32.0,0.4444444444444444,11.893677377939522,5,32.0,0.569449348071627,0,0.0,0.9706562335379114,0,0.0,1.0,0,0.0,0.9371624844691867,0,0.0,0.9630506746231249,0,2.0,0.9198529454658143,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9817335733023211,0,0.0,0.9298996716558185,0,0.0,0.9530650205012723,0,2.0,0.9376939175512046,0,0.0,0.9811672358719594,0,0.0,0.9165972733173566,0,0.0,0.9074942043322327,0,2.0,0.9325376648986675,5,38.0
30.0,8,62.0,0.775,10.993385567955771,7,61.0,0.47715030108198375,0,0.0,0.9389063317832322,0,0.0,0.9422350327432811,0,0.0,0.9285612586227208,1,1.0,0.6209925926544577,0,2.0,0.9418332573230274,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9715036747624893,0,0.0,0.9465428341632558,0,0.0,0.7525858793600969,0,2.0,0.9561846875023798,0,0.0,0.9656055647813256,0,0.0,0.95425094973515,0,0.0,0.8753304598099354,0,2.0,0.9152149682650842,8,68.0
35.0,17,127.0,1.3229166666666667,9.148978748121856,8,97.0,0.42780463175923106,0,0.0,0.9446605862361427,0,0.0,0.9460332208301709,0,0.0,0.9944226937212366,2,11.0,0.4703710750670838,2,3.0,0.26684621049917523,0,0.0,0.9853958230066678,0,0.0,0.9371624844691867,0,0.0,0.9759166443486109,0,0.0,0.9224225653939172,2,8.0,0.6586446527052408,1,4.0,0.5703274425242347,0,0.0,0.9621961059166589,0,0.0,0.9506973654604097,1,4.0,0.7393781251668805,1,2.0,0.5645113485988852,17,129.0
40.0,31,242.0,2.1607142857142856,8.462323380385964,10,141.0,0.37291394005830303,0,0.0,0.9755061994493596,0,0.0,0.9430353177765332,0,0.0,0.962316013913199,4,30.0,0.3741593676933881,4,18.0,0.3268317158112923,0,0.0,0.9767879761285874,0,0.0,0.9358718131528605,0,0.0,0.9804585956768236,0,0.0,0.985260530612255,4,25.0,0.583851499282453,1,3.0,0.49180378329858876,0,4.0,0.7657024701025285,0,0.0,0.9398867764273968,3,13.0,0.624494561371432,5,14.0,0.2744874052264662,31,248.0
45.0,38,279.0,2.325,7.819718849813962,7,131.0,0.34692713424777366,0,4.0,0.7826419020841012,1,1.0,0.7056068410237051,0,0.0,0.910211319506925,6,57.0,0.4598045880361773,4,38.0,0.31208790829222394,1,2.0,0.7179722566180027,0,0.0,0.9739460947483267,0,0.0,0.9499414467704875,0,0.0,0.9607715729093002,6,51.0,0.43318440193292446,2,7.0,0.612280323906256,1,5.0,0.7624408012555771,0,0.0,0.9364232822117463,5,36.0,0.4844758866997933,5,39.0,0.28207178821075746,38,371.0
50.0,25,192.0,1.411764705882353,8.095710920953975,3,61.0,0.4557230197946317,0,4.0,0.8822596355815007,1,5.0,0.4800416852673939,0,0.0,0.9418788776123769,8,92.0,0.4354525630428374,0,21.0,0.5736451702048976,1,11.0,0.4575076113484491,0,0.0,0.9456997193858308,0,0.0,0.9652486591850776,0,0.0,0.9726279349407613,2,42.0,0.27163520911583267,0,2.0,0.5965529239475659,2,14.0,0.7517045724530612,0,0.0,0.9676160700935574,7,66.0,0.43870170426311994,1,33.0,0.18427556489900468,25,351.0
