step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.57525901158806,0,0.0,0.7282222548661705,0,0.0
20.0,0,0.0,0.0,14.849726197251584,0,0.0,0.9342501614854032,0,0.0
25.0,0,0.0,0.0,15.72588678349026,0,0.0,0.9891632544511675,0,0.0
30.0,0,0.0,0.0,14.483103096165275,0,0.0,0.951266988503869,0,0.0
35.0,0,0.0,0.0,13.967534097017854,0,0.0,0.9145271980417754,0,0.0
40.0,0,0.0,0.0,14.34402908458497,0,0.0,0.9682016044818248,0,0.0
45.0,0,0.0,0.0,14.113831478305789,0,0.0,0.9696011473072917,0,0.0
50.0,0,0.0,0.0,14.307165872935142,0,0.0,0.9845757225163877,0,0.0
55.0,0,0.0,0.0,13.448623603230876,0,0.0,0.927714869057036,0,0.0
60.0,0,0.0,0.0,13.610175806708407,0,0.0,0.9479623748174572,0,0.0
65.0,2,2.0,0.16666666666666666,11.253455256665704,2,2.0,0.786310192867401,2,2.0
70.0,2,12.0,1.0,11.536225528554136,2,12.0,0.8029764442011024,2,12.0
75.0,2,22.0,1.5714285714285714,11.695147389270671,2,22.0,0.8181924208683699,2,22.0
80.0,2,32.0,2.2857142857142856,11.84333355668284,2,32.0,0.8285875947453702,2,32.0
85.0,2,42.0,2.625,9.891098671841105,2,42.0,0.6980324973911396,2,42.0
90.0,4,62.0,3.875,10.294178610493125,4,62.0,0.7270908792964783,4,62.0
95.0,4,82.0,4.1,10.203796742058966,4,82.0,0.717266024344205,4,82.0
100.0,5,105.0,4.375,10.399934371407204,5,105.0,0.7204865305118288,5,105.0
105.0,6,132.0,4.888888888888889,10.091996798744288,6,132.0,0.6952437936523476,6,132.0
110.0,7,166.0,5.724137931034483,10.065960131371519,7,166.0,0.6966097445909658,7,166.0
115.0,9,207.0,7.137931034482759,9.548517985235067,9,207.0,0.6564952973696175,9,207.0
120.0,11,256.0,8.533333333333333,8.917979075271603,11,256.0,0.6040700736931973,11,256.0
125.0,8,188.0,5.529411764705882,9.348207411488692,8,308.0,0.6445717347924499,8,308.0
130.0,7,188.0,5.371428571428571,9.2984857134819,7,203.0,0.7053146520189685,7,203.0
135.0,7,223.0,5.868421052631579,10.088693706344898,7,238.0,0.7205684230156805,7,238.0
140.0,8,263.0,6.414634146341464,10.676433925685668,8,278.0,0.723665700033707,8,278.0
145.0,9,304.0,7.069767441860465,10.697907392545947,9,319.0,0.6858467127956978,9,319.0
150.0,13,358.0,7.617021276595745,9.662454354956488,13,373.0,0.6072333725657855,13,373.0
155.0,16,432.0,9.0,9.127852202303771,16,447.0,0.5663286262926218,16,447.0
160.0,18,519.0,9.436363636363636,8.947841680091072,18,534.0,0.551649243988342,18,534.0
165.0,15,532.0,9.172413793103448,9.077705027396034,15,625.0,0.5694576341184358,15,625.0
170.0,13,568.0,9.466666666666667,9.597187601536186,13,573.0,0.6687580889253055,13,573.0
175.0,12,563.0,8.661538461538461,9.893844485612922,12,641.0,0.6619492028598701,12,641.0
180.0,15,632.0,9.028571428571428,9.828615451564895,15,637.0,0.6520901627845681,15,637.0
185.0,12,676.0,9.26027397260274,9.935700366622251,12,695.0,0.6515317328050579,12,695.0
190.0,14,741.0,9.5,10.006920361011757,14,741.0,0.7039162690886914,14,741.0
195.0,15,815.0,10.1875,10.140506615203469,15,815.0,0.7093847787361544,15,815.0
200.0,17,896.0,10.795180722891565,10.43357131578887,17,896.0,0.7020425003366902,17,896.0
205.0,18,978.0,11.642857142857142,10.392722855999208,18,983.0,0.6826342451702145,18,983.0
210.0,19,1069.0,12.28735632183908,9.770616544095851,19,1070.0,0.6266157082112128,19,1070.0
215.0,18,550.0,5.913978494623656,9.584663327914363,18,1178.0,0.6164332029253576,18,1178.0
220.0,2,22.0,0.21782178217821782,10.337233667397125,2,320.0,0.7497579386993378,2,320.0
225.0,8,40.0,0.3883495145631068,10.413166398200609,8,347.0,0.7315090690788482,8,347.0
230.0,21,114.0,1.0754716981132075,9.714880482029365,21,412.0,0.6495733543191717,21,412.0
235.0,24,223.0,2.0272727272727273,9.807556848753897,24,532.0,0.6367501786899398,24,532.0
240.0,27,353.0,3.0695652173913044,9.780665690539847,27,651.0,0.6368784790965892,27,651.0
245.0,25,375.0,3.3482142857142856,9.119442805417957,25,746.0,0.5992602621660462,25,746.0
250.0,6,69.0,0.5847457627118644,9.455132108298962,6,383.0,0.6604448514596759,6,383.0
255.0,12,96.0,0.8067226890756303,9.65496285291188,12,429.0,0.6519373999047499,12,429.0
260.0,30,215.0,1.72,9.525018346231075,30,532.0,0.6230068201136264,30,532.0
265.0,32,328.0,2.523076923076923,9.55051218975242,32,696.0,0.603972105611029,32,696.0
270.0,35,484.0,3.6666666666666665,9.30796346775237,35,802.0,0.5920463304800682,35,802.0
275.0,33,529.0,3.8613138686131387,9.11616206210612,33,882.0,0.5813316035643045,33,882.0
280.0,13,154.0,1.1079136690647482,9.196589946529965,13,635.0,0.6155624749637977,13,635.0
285.0,10,143.0,1.0070422535211268,9.62080409999928,10,460.0,0.6654497259536805,10,460.0
290.0,23,210.0,1.4285714285714286,9.25302761311034,23,547.0,0.5898264781595479,23,547.0
